Wumpus World Experiment Results
Trials: 5
World size: 4x4
Wumpus: 2, Pit probability: 0.2

Intelligent Agent Results:
Trial 1: Score=965, Steps=38, Success=True, Alive=True
Trial 2: Score=-1009, Steps=1000, Success=False, Alive=True
Trial 3: Score=-1001, Steps=1, Success=False, Alive=False
Trial 4: Score=-1001, Steps=1, Success=False, Alive=False
Trial 5: Score=-1001, Steps=1, Success=False, Alive=False

Random Agent Results:
Trial 1: Score=-1030, Steps=31, Success=False, Alive=False
Trial 2: Score=-1018, Steps=9, Success=False, Alive=False
Trial 3: Score=-1001, Steps=1, Success=False, Alive=False
Trial 4: Score=-1013, Steps=13, Success=False, Alive=False
Trial 5: Score=-1009, Steps=10, Success=False, Alive=False
